date,actual,y,pred,q67_raw,q67_conformal
2010-07-10,2.0,7.0,11.4293517523168,14.991625021723946,16.995277330986283
2010-07-11,5.0,16.0,13.122316373226553,14.752528543042528,16.756180852304865
2010-07-12,11.0,22.0,17.08613254738096,16.78808945171102,18.79174176097336
2010-07-13,11.0,25.0,18.056995368885215,17.190231009875887,19.193883319138227
2010-07-14,14.0,29.0,18.33790520108057,15.344811825024552,17.34846413428689
2010-07-15,15.0,24.0,18.871737281020927,15.920726993343091,17.92437930260543
2010-07-16,9.0,17.0,16.762709702786385,15.58535742334187,17.589009732604207
2010-07-17,8.0,22.0,11.232710699596339,13.675658436696173,15.67931074595851
2010-07-18,14.0,26.0,14.61307336047734,15.877923272761146,17.881575582023483
2010-07-19,12.0,26.0,19.841567571000443,16.596501497456085,18.600153806718424
2010-07-20,14.0,37.0,19.682033659828573,16.47731689235547,18.48096920161781
2010-07-21,23.0,32.0,20.085254319823292,16.689705970849584,18.693358280111923
2010-07-22,9.0,19.0,21.828587783374818,16.128772807820983,18.132425117083322
2010-07-23,10.0,17.0,17.15787376883494,14.703191286911752,16.70684359617409
2010-07-24,7.0,12.0,12.433804784992535,12.730572144141668,14.734224453404007
2010-07-25,5.0,11.0,15.411156821782258,14.85517029741373,16.858822606676068
2010-07-26,6.0,14.0,18.777392879572616,16.35151436631373,18.35516667557607
2010-07-27,8.0,19.0,18.528176914245968,16.740585743265893,18.74423805252823
2010-07-28,11.0,18.0,18.37837602790955,16.026299538286167,18.029951847548507
2010-07-29,7.0,10.0,18.130760931539267,13.784137451239195,15.787789760501532
2010-07-30,3.0,8.0,15.034560498826936,14.067045952706096,16.070698261968435
2010-07-31,5.0,10.0,9.893929360680273,10.848418475389666,12.852070784652003
2010-08-01,5.0,15.0,12.84641471073086,12.165702516385009,14.169354825647346
2010-08-02,10.0,22.0,16.646689058156408,14.532570437870897,16.536222747133234
2010-08-03,12.0,23.0,17.372083981686224,14.920124476422917,16.923776785685256
2010-08-04,11.0,21.0,17.813807395742295,14.844352756975399,16.848005066237736
2010-08-05,10.0,22.0,17.864455837785684,16.001529822979606,18.005182132241945
2010-08-06,12.0,15.0,15.348342048044213,15.57612448562032,17.579776794882658
2010-08-07,3.0,8.0,11.760914426942106,11.840564608499228,15.373330577757756
2010-08-08,5.0,19.0,14.083903730797562,12.361307452619565,15.894073421878092
2010-08-09,14.0,27.0,18.02557410762709,14.912836568341495,18.445602537600024
